Life Ring;true
Life Ring +1;false
Life Ring +2;false
Life Ring +3;false
Sun Princess Ring;false
Estus Ring;false
Ashen Estus Ring;false
Chloranthy Ring;false
Chloranthy ring +1;false
Chloranthy ring +2;false
Havels Ring;false
Havels Ring + 1;false
Havels Ring + 2;false
Ring of Favor;false
Ring of Favor + 1;false
Ring of Favor + 2;false
Prisoners Chain;false
Ring of Steel Protection;false
Ring of Steel Protection + 1;false
Ring of Steel Protection + 2;false
Magic Stoneplate Ring ;false
Magic Stoneplate Ring +1;false
Magic Stoneplate Ring + 2;false
Flame Stoneplate Ring;false
Flame Stoneplate Ring + 1;false
Flame Stoneplate Ring + 2;false
Thunder Stoneplate Ring;false
Thunder Stoneplate Ring + 1;false
Thunder Stoneplate Ring + 2;false
Dark Stoneplate Ring;false
Dark Stoneplate Ring + 1;false
Dark Stoneplate Ring + 2;false
Speckled Stoneplate Ring;false
Speckled Stoneplate Ring + 1;false
Bloodbite Ring;false
Bloodbite Ring + 1;false
Poisonbite Ring;false
Poisonbite Ring + 1;false
Cursebite Ring;false
Fleshbite Ring;false
Fleshbite Ring + 1;false
Knight's Ring;false
Hunter's Ring;false
Scholar Ring;false
Priestess Ring;false
Covetous Gold Serpent Ring;false
Covetous Gold Serpent Ring + 1;false
Covetous Gold Serpent Ring + 2;false
Covetous Silver Serpent Ring;false
Covetous Silver Serpent Ring + 1;false
Covetous Silver Serpent Ring + 2;false
Saints Ring;false
Deep Ring;false
Darkmoon Ring;false
Young Dragon Ring;false
Bellowing Dragoncrest Ring;false
Great Swamp Ring;false
Witch's Ring;false
Morne's Ring;false
Ring of the Sun's First Born;false
Lingering Dragoncrest Ring;false
Lingering Dragoncrest Ring + 1;false
Lingering Dragoncrest Ring + 2;false
Sage's Ring;false
Sage's Ring + 1;false
Sage's Ring + 2;false
Dusk Crown Ring;false
Leo Ring;false
Wolf Ring;false
Wolf Ring +1;false
Wolf Ring +2;false
Hawk Ring;false
Hornet Ring;false
Knight Slayer's Ring;false
Ring of the Evil Eye;false
Ring of the Evil Eye + 1;false
Ring of the Evil Eye + 2;false
Farron Ring;false
Dragonscale Ring;false
Horsehoof ring;false
Wood Grain Ring;false
Wood Grain Ring + 1;false
Wood Grain Ring + 2;false
Flynn's Ring;false
Magic Clutch Ring;false
Lightning Clutch Ring;false
Fire Clutch Ring;false
Dark Clutch Ring;false
Red Tearstone Ring;false
Blue Tearstone Ring;false
Lloyd's Sword Ring;false
Lloyd's Shield Ring;false
Carthus Milkring;false
Carthus Bloodring;false
Pontiff's Right Eye;false
Pontiff's Left Eye;false
Aldrich's Ruby;false
Aldrich's Sapphire;false
Silvercat Ring;false
Slumbering Dragoncrest Ring;false
Obscuring Ring;false
Untrue Dark Ring;false
Untrue White Ring;false
Reversal Ring;false
Skull Ring;false
Calamity Ring;false
Ring of Sacrifice;false
